file	verts	faces	longest_axis
dragons_xyzrgb_dragon.obj	124943	249882	X
parts_shoe.obj	64264	126208	Z
holding_napoleon.obj	49501	98998	Y
napoleon.obj	49501	98998	Y
statues_napoleon.obj	49501	98998	Y
humanoid_minion.obj	45891	47664	X
thingi10k_wooly_sheep.obj	42101	84198	X
dragons_dragon.obj	41105	27390	Z
animals_oded_penguin.obj	36738	73472	Y
animals_penguin_oded_bad_normals.obj	36738	73472	Y
aliens_alien.obj	34217	68430	Y
holding_alien_old.obj	34217	68430	Y
humanoid_mike_wazowski.obj	34066	37822	Y
thingi10k_santa_hat.obj	33322	66640	X
instruments_guitar.obj	31766	23228	Y
instruments_violin.obj	31343	23448	Y
aliens_ufo.obj	30906	26372	Z
animals_dog_de.obj	29996	60000	Y
dog_de.obj	29996	60000	Y
dreameditor_dog_dog.ply	29996	60000	Y
dreameditor_dog_dog_de.obj	29996	60000	Y
holding_dog_de.obj	29996	60000	Y
animals_bunny_hr.obj	29834	59664	X
humanoid_lego_minifig.obj	27395	53905	Y
lego_minifig.obj	27395	53905	Y
vehicles_fighter_plane.obj	24843	17497	Z
humanoid_person.obj	24461	48918	Y
person.obj	24461	48918	Y
household_objects_water_bottle.obj	23813	16398	Y
furnature_chair.obj	21896	43796	Y
animals_horse.obj	21867	43730	X
animals_horse3.obj	21432	42860	X
household_objects_tripple_lamp.obj	20582	41160	Z
animals_horse2.obj	20520	41036	X
thingi10k_octocat.obj	18944	37884	Y
instruments_cello.obj	17998	18147	Y
animals_bunny.obj	17055	17198	Z
vehicles_tie_fighter.obj	16820	33154	Z
household_objects_vase.obj	14476	28952	Y
foot.obj	13809	27500	Z
holding_foot.obj	13809	27500	Z
parts_foot.obj	13809	27500	Z
other_pumpkin.obj	13063	26032	Z
household_objects_hammer.obj	12189	23128	Y
spot.obj	11533	23062	Z
furnature_table.obj	10477	17908	X
animals_goat.obj	10436	20868	X
animals_camel.obj	9757	19510	Z
camel.obj	9757	19510	Z
holding_camel.obj	9757	19510	Z
animals_springer.obj	9686	19368	Y
animals_armadillo.obj	9571	19138	Y
animals_giraffe.obj	9239	18474	Y
household_objects_vase_25.obj	9120	18236	Y
animals_squirrel.obj	8800	17596	Z
animals_pig2.obj	8411	16818	X
household_objects_candle.obj	8036	16068	Y
vehicles_plane.obj	7587	9490	X
animals_blub.obj	7317	14208	Z
holding_man_head.obj	7056	13348	Y
man_head.obj	7056	13348	Y
parts_man_head.obj	7056	13348	Y
dragons_simple_dragon.obj	7024	15338	X
animals_cow.obj	6938	13872	X
hand.obj	6607	13210	Z
parts_hand.obj	6607	13210	Z
parts_face.obj	6435	12280	Y
animals_bob.obj	5647	10688	X
animals_penguin.obj	5642	9258	Y
humanoid_robot.obj	5605	6132	Y
animals_octopus_eyes.obj	5301	10027	X
aliens_alien2.obj	5159	10314	X
holding_alien.obj	5159	10314	X
furnature_desk_chair.obj	5000	9996	Y
household_objects_lamp.obj	4957	9914	Y
animals_wolf.obj	4712	9420	X
animals_donkey.obj	3911	7818	Y
holding_nascar.obj	3750	7500	Z
nascar.obj	3750	7500	Z
vehicles_nascar.obj	3750	7500	Z
holding_spot_coarse.obj	3225	5856	Z
spot_coarse.obj	3225	5856	Z
animals_octopus.obj	2827	5215	X
env_sphere.obj	2562	5120	X
instruments_trumpet.obj	1950	1726	X
animals_dog.obj	1480	2956	X
dog.obj	1480	2956	X
holding_dog.obj	1480	2956	X
thingi10k_xwing_ornament.obj	944	1884	Z
cube.obj	8	12	X
