tag	yaw	pitch	sil_pct	vis_area_pct	handle_vis_pct
yaw_000	0.0	10.0	18.1711	42.0449	33.2835
yaw_010	10.0	10.0	18.4039	42.3072	43.1277
yaw_020	20.0	10.0	18.3939	42.7794	44.7850
yaw_030	30.0	10.0	18.3196	42.8819	45.3300
yaw_040	40.0	10.0	18.2195	42.9241	46.5771
yaw_050	50.0	10.0	18.0677	42.3052	46.0000
yaw_060	60.0	10.0	17.9450	41.3419	40.5581
yaw_070	70.0	10.0	18.0230	42.5843	47.0305
yaw_080	80.0	10.0	18.1383	42.8452	48.9893
yaw_090	90.0	10.0	18.1993	42.8472	49.4224
yaw_100	100.0	10.0	18.1476	42.6062	50.7906
yaw_110	110.0	10.0	17.8090	41.4186	52.2318
yaw_120	120.0	10.0	17.1614	40.3893	54.1364
yaw_130	130.0	10.0	16.9806	42.4720	56.2345
yaw_140	140.0	10.0	17.0515	43.4876	59.1036
yaw_150	150.0	10.0	17.0786	43.2130	57.9839
yaw_160	160.0	10.0	17.0939	41.7197	56.0721
yaw_170	170.0	10.0	17.6840	41.5305	55.1682
yaw_180	180.0	10.0	18.2567	42.8419	54.1092
yaw_190	190.0	10.0	18.3226	43.0977	53.1421
yaw_200	200.0	10.0	18.2552	43.6201	52.4629
yaw_210	210.0	10.0	18.1318	43.6371	51.5603
yaw_220	220.0	10.0	17.9528	43.7056	48.5224
yaw_230	230.0	10.0	17.8174	44.1369	47.3979
yaw_240	240.0	10.0	17.7789	44.3675	50.4956
yaw_250	250.0	10.0	17.8018	43.9097	49.1574
yaw_260	260.0	10.0	17.8756	43.6813	49.0822
yaw_270	270.0	10.0	17.9181	43.1947	47.7285
yaw_280	280.0	10.0	17.8541	42.5978	42.5227
yaw_290	290.0	10.0	17.3861	40.7670	25.5532
yaw_300	300.0	10.0	17.1039	39.2784	2.8778
yaw_310	310.0	10.0	17.2638	39.3905	2.8778
yaw_320	320.0	10.0	17.3782	39.2587	2.7743
yaw_330	330.0	10.0	17.4518	39.1849	2.4072
yaw_340	340.0	10.0	17.4785	39.2924	1.8930
yaw_350	350.0	10.0	17.6860	40.8258	17.2640
pitch_00	240.0	0.0	17.9527	42.2200	49.4286
pitch_05	240.0	5.0	17.8517	42.8591	49.3911
pitch_10	240.0	10.0	17.7789	44.3675	50.4956
pitch_15	240.0	15.0	17.6900	45.2194	51.9111
pitch_20	240.0	20.0	17.5303	45.8102	52.5243
pitch_25	240.0	25.0	17.3017	45.8876	52.7147
pitch_30	240.0	30.0	16.9996	45.7142	53.6719
pitch_40	240.0	40.0	16.1800	44.6551	53.6573
