arm,frame,entropy_all,cls_all,top1_all,entropy_vis,cls_vis,top1_vis,entropy_inv,cls_inv,top1_inv,attn_flicker,attn_drift,attn_flicker_vis,attn_flicker_inv,seconds
frozen,1,0.977019,0.574547,0.032471,0.976761,0.571514,0.032736,0.977182,0.576459,0.032303,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.42
frozen,2,0.977238,0.575194,0.031774,0.976968,0.572129,0.032046,0.977408,0.577127,0.031602,1.767234e-02,1.767234e-02,1.820672e-02,1.733541e-02,1.30
frozen,3,0.977301,0.574762,0.031959,0.977029,0.571721,0.032272,0.977473,0.576680,0.031761,1.453853e-02,1.976077e-02,1.432566e-02,1.467274e-02,1.30
frozen,4,0.977334,0.574505,0.031883,0.977053,0.571473,0.032194,0.977510,0.576417,0.031687,1.195019e-02,1.880322e-02,1.169596e-02,1.211048e-02,1.30
frozen,5,0.977391,0.574347,0.031918,0.977110,0.571319,0.032214,0.977567,0.576256,0.031730,7.357707e-03,1.856107e-02,7.527165e-03,7.250862e-03,1.30
frozen,6,0.978358,0.571069,0.031945,0.977984,0.568011,0.032452,0.978593,0.572998,0.031625,2.884678e-02,3.716344e-02,2.826813e-02,2.921162e-02,1.30
frozen,7,0.978656,0.567842,0.032966,0.978304,0.564511,0.033501,0.978878,0.569943,0.032629,3.298354e-02,6.096588e-02,3.412248e-02,3.226544e-02,1.30
frozen,8,0.978763,0.567916,0.032620,0.978409,0.564554,0.033170,0.978986,0.570036,0.032273,1.096502e-02,6.423287e-02,1.125385e-02,1.078291e-02,1.30
frozen,9,0.978746,0.568283,0.032813,0.978385,0.564904,0.033339,0.978974,0.570413,0.032481,1.122357e-02,6.395860e-02,1.110880e-02,1.129594e-02,1.30
frozen,10,0.978779,0.567568,0.032926,0.978429,0.564163,0.033475,0.979000,0.569715,0.032580,9.587432e-03,6.654266e-02,9.727044e-03,9.499404e-03,1.30
frozen,11,0.978801,0.568261,0.032660,0.978457,0.564765,0.033202,0.979018,0.570466,0.032318,9.076918e-03,6.570845e-02,8.838494e-03,9.227247e-03,1.30
frozen,12,0.978826,0.565588,0.033273,0.978419,0.562107,0.033962,0.979082,0.567783,0.032840,2.356373e-02,7.288162e-02,2.409150e-02,2.323097e-02,1.30
frozen,13,0.979012,0.564197,0.033549,0.978580,0.560695,0.034400,0.979285,0.566406,0.033013,1.692297e-02,7.652466e-02,1.719852e-02,1.674923e-02,1.30
frozen,14,0.978999,0.563293,0.033485,0.978532,0.559718,0.034454,0.979294,0.565547,0.032874,1.457644e-02,7.766550e-02,1.541020e-02,1.405075e-02,1.30
frozen,15,0.979089,0.563102,0.033489,0.978620,0.559512,0.034489,0.979385,0.565366,0.032859,9.152993e-03,7.977473e-02,8.837716e-03,9.351776e-03,1.30
frozen,16,0.979110,0.563824,0.033068,0.978664,0.560261,0.034037,0.979392,0.566071,0.032457,1.390152e-02,7.876668e-02,1.406500e-02,1.379844e-02,1.30
frozen,17,0.979315,0.563906,0.032731,0.978854,0.560357,0.033736,0.979606,0.566143,0.032097,2.228748e-02,8.483107e-02,2.213582e-02,2.238310e-02,1.30
frozen,18,0.979359,0.564367,0.032747,0.978928,0.560827,0.033633,0.979631,0.566599,0.032188,1.454700e-02,8.400849e-02,1.463575e-02,1.449103e-02,1.30
frozen,19,0.979464,0.564017,0.032528,0.979002,0.560450,0.033463,0.979755,0.566266,0.031939,1.474592e-02,8.612665e-02,1.509986e-02,1.452276e-02,1.30
frozen,20,0.979562,0.563241,0.032640,0.979091,0.559603,0.033670,0.979859,0.565535,0.031991,1.367079e-02,8.912449e-02,1.377386e-02,1.360581e-02,1.30
frozen,21,0.979566,0.563338,0.032641,0.979099,0.559687,0.033683,0.979860,0.565641,0.031985,1.019088e-02,8.849952e-02,1.018557e-02,1.019423e-02,1.30
frozen,22,0.979665,0.561252,0.033057,0.979131,0.557583,0.034302,0.980002,0.563566,0.032272,2.607532e-02,9.622344e-02,2.638065e-02,2.588281e-02,1.30
