epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.055659,14.1029,0.42064,0.30848,0.30848,0.0000e+00,3.5611e-02,0.0000e+00,0,168.2
2,0.033940,15.4279,0.46718,0.46394,0.46394,0.0000e+00,1.1478e-03,0.0000e+00,0,176.5
2,0.084320,13.0699,0.48706,0.65307,0.65307,0.0000e+00,1.0271e-02,0.0000e+00,0,164.9
3,0.026572,15.8647,0.48498,0.59208,0.59208,0.0000e+00,1.4228e-04,0.0000e+00,0,170.0
3,0.044565,13.5255,0.50671,0.82594,0.82594,0.0000e+00,8.5115e-04,0.0000e+00,0,173.5
4,0.023731,16.0568,0.48431,0.67797,0.67797,0.0000e+00,2.7841e-04,0.0000e+00,0,172.1
4,0.038960,13.7345,0.51625,0.89934,0.89934,0.0000e+00,2.8780e-04,0.0000e+00,0,168.5
5,0.022211,16.5415,0.48361,0.76983,0.76983,0.0000e+00,4.3091e-03,0.0000e+00,0,173.3
5,0.036398,13.9933,0.52137,0.99030,0.99030,0.0000e+00,2.2890e-04,0.0000e+00,0,170.1
6,0.019590,16.5954,0.46984,0.88810,0.88810,0.0000e+00,2.9305e-04,0.0000e+00,0,175.2
6,0.032707,14.7045,0.54538,1.10812,1.10812,0.0000e+00,1.1995e-03,0.0000e+00,0,170.1
7,0.017425,17.1421,0.48856,1.01146,1.01146,0.0000e+00,4.5898e-04,0.0000e+00,0,165.5
7,0.027304,16.0407,0.58428,1.22636,1.22636,0.0000e+00,2.5945e-03,0.0000e+00,0,172.2
8,0.014612,18.1306,0.50901,1.14717,1.14717,0.0000e+00,1.6274e-03,0.0000e+00,0,171.0
8,0.022669,17.0996,0.61613,1.32680,1.32680,0.0000e+00,2.0054e-03,0.0000e+00,0,163.9
9,0.011201,19.6977,0.56135,1.22712,1.22712,0.0000e+00,3.3842e-04,0.0000e+00,0,170.0
9,0.019654,17.5908,0.63112,1.41683,1.41683,0.0000e+00,7.1846e-04,0.0000e+00,0,170.0
10,0.009893,20.2325,0.57682,1.28993,1.28993,0.0000e+00,1.7108e-04,0.0000e+00,0,167.7
10,0.017391,18.0020,0.64415,1.50249,1.50249,0.0000e+00,1.0761e-04,0.0000e+00,0,168.6
11,0.008882,20.4643,0.59075,1.35424,1.35424,0.0000e+00,3.0278e-03,0.0000e+00,0,168.4
11,0.015792,18.2847,0.65410,1.58249,1.58249,0.0000e+00,2.0995e-04,0.0000e+00,0,167.3
12,0.008205,20.9933,0.62044,1.41118,1.41118,0.0000e+00,8.5057e-05,0.0000e+00,0,166.4
12,0.014456,18.5548,0.66322,1.65737,1.65737,0.0000e+00,6.3541e-03,0.0000e+00,0,168.5
13,0.007754,21.1084,0.64209,1.46412,1.46412,0.0000e+00,8.7259e-04,0.0000e+00,0,168.4
13,0.013149,18.8016,0.67173,1.72692,1.72692,0.0000e+00,1.1030e-04,0.0000e+00,0,163.8
14,0.007479,21.3697,0.63993,1.50745,1.50745,0.0000e+00,1.3514e-03,0.0000e+00,0,177.0
14,0.012317,19.0078,0.68002,1.79229,1.79229,0.0000e+00,2.6642e-03,0.0000e+00,0,165.1
15,0.007081,21.8098,0.68089,1.55443,1.55443,0.0000e+00,9.3011e-04,0.0000e+00,0,173.5
15,0.011742,19.2303,0.68755,1.85221,1.85221,0.0000e+00,3.3805e-03,0.0000e+00,0,175.1
16,0.006779,22.0064,0.69815,1.59652,1.59652,0.0000e+00,7.4448e-04,0.0000e+00,0,167.3
16,0.010913,19.2997,0.69217,1.91096,1.91096,0.0000e+00,1.9076e-03,0.0000e+00,0,170.9
17,0.006578,22.1574,0.70375,1.63724,1.63724,0.0000e+00,1.7621e-03,0.0000e+00,0,170.1
17,0.010190,19.5082,0.69767,1.96853,1.96853,0.0000e+00,8.4433e-04,0.0000e+00,0,164.1
18,0.006409,22.1238,0.70016,1.67817,1.67817,0.0000e+00,1.0303e-03,0.0000e+00,0,167.2
18,0.009624,19.7649,0.70379,2.02376,2.02376,0.0000e+00,4.0001e-03,0.0000e+00,0,168.0
19,0.006185,22.4166,0.71868,1.71584,1.71584,0.0000e+00,2.0953e-04,0.0000e+00,0,168.9
19,0.009376,19.7280,0.70617,2.07110,2.07110,0.0000e+00,6.8066e-04,0.0000e+00,0,165.4
20,0.006032,22.3923,0.72078,1.75530,1.75530,0.0000e+00,3.2899e-04,0.0000e+00,0,173.0
20,0.008786,20.0370,0.71466,2.11242,2.11242,0.0000e+00,2.4830e-04,0.0000e+00,0,168.0
21,0.005874,22.4672,0.72469,1.78827,1.78827,0.0000e+00,7.3194e-04,0.0000e+00,0,174.7
21,0.008380,20.0893,0.71774,2.15169,2.15169,0.0000e+00,1.9358e-03,0.0000e+00,0,168.4
22,0.005644,22.7725,0.73111,1.82287,1.82287,0.0000e+00,1.4897e-03,0.0000e+00,0,165.6
22,0.008012,20.2781,0.72366,2.18595,2.18595,0.0000e+00,1.1504e-03,0.0000e+00,0,171.5
23,0.005495,22.7958,0.72842,1.85628,1.85628,0.0000e+00,2.4258e-03,0.0000e+00,0,167.1
23,0.007658,20.3232,0.72487,2.21953,2.21953,0.0000e+00,4.2863e-03,0.0000e+00,0,163.0
24,0.005436,22.9189,0.73335,1.88944,1.88944,0.0000e+00,8.6301e-05,0.0000e+00,0,174.1
24,0.007444,20.4596,0.72960,2.25379,2.25379,0.0000e+00,8.5345e-04,0.0000e+00,0,165.4
25,0.005197,22.9825,0.73305,1.92373,1.92373,0.0000e+00,2.4315e-03,0.0000e+00,0,173.4
25,0.007378,20.4588,0.73150,2.28157,2.28157,0.0000e+00,2.3036e-04,0.0000e+00,0,170.7
26,0.005035,23.1139,0.74954,1.95622,1.95622,0.0000e+00,7.9122e-05,0.0000e+00,0,169.7
26,0.006971,20.7314,0.73754,2.30890,2.30890,0.0000e+00,1.8708e-03,0.0000e+00,0,170.0
27,0.004843,23.0433,0.73082,1.99212,1.99212,0.0000e+00,6.3330e-04,0.0000e+00,0,171.5
27,0.006842,20.6876,0.73818,2.33491,2.33491,0.0000e+00,2.6428e-04,0.0000e+00,0,165.7
28,0.004758,23.2701,0.74665,2.02217,2.02217,0.0000e+00,1.5809e-03,0.0000e+00,0,173.1
28,0.006563,20.8944,0.74238,2.36255,2.36255,0.0000e+00,8.2785e-04,0.0000e+00,0,168.0
29,0.004554,23.3395,0.75029,2.05426,2.05426,0.0000e+00,1.8947e-03,0.0000e+00,0,165.5
29,0.006460,20.9312,0.74422,2.38590,2.38590,0.0000e+00,4.9624e-03,0.0000e+00,0,170.3
30,0.006327,20.9167,0.74312,2.40991,2.40991,0.0000e+00,4.6641e-03,0.0000e+00,0,162.6
30,0.004376,23.3665,0.74335,2.08762,2.08762,0.0000e+00,2.9996e-03,0.0000e+00,0,169.1
