epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.081932,11.7284,0.32976,0.55977,0.55977,0.0000e+00,3.0170e-03,0.0000e+00,0,276.1
2,0.057594,12.9369,0.36595,0.77599,0.77599,0.0000e+00,7.6499e-04,0.0000e+00,0,287.8
3,0.049065,13.5612,0.38887,0.98678,0.98678,0.0000e+00,3.6564e-04,0.0000e+00,0,280.2
4,0.042876,14.1158,0.41860,1.20614,1.20614,0.0000e+00,5.7876e-04,0.0000e+00,0,282.5
5,0.036070,15.0603,0.47168,1.39703,1.39703,0.0000e+00,3.4408e-03,0.0000e+00,0,283.1
6,0.028756,16.0669,0.50767,1.58583,1.58583,0.0000e+00,3.1760e-03,0.0000e+00,0,286.7
7,0.021932,17.0115,0.56721,1.74818,1.74818,0.0000e+00,3.1649e-03,0.0000e+00,0,271.9
8,0.017447,17.9176,0.61603,1.86160,1.86160,0.0000e+00,2.1774e-03,0.0000e+00,0,281.6
9,0.014360,18.4923,0.64415,1.94329,1.94329,0.0000e+00,5.3063e-04,0.0000e+00,0,279.6
10,0.012648,18.9654,0.65975,2.00782,2.00782,0.0000e+00,6.4132e-04,0.0000e+00,0,276.3
11,0.011499,19.3530,0.67617,2.06559,2.06559,0.0000e+00,1.1225e-02,0.0000e+00,0,275.4
12,0.010312,19.6465,0.68345,2.11303,2.11303,0.0000e+00,1.9633e-04,0.0000e+00,0,271.5
13,0.009621,19.9129,0.69235,2.15642,2.15642,0.0000e+00,5.4782e-03,0.0000e+00,0,274.2
14,0.009231,20.2331,0.70588,2.19562,2.19562,0.0000e+00,4.4355e-03,0.0000e+00,0,289.3
15,0.008487,20.4448,0.71307,2.23252,2.23252,0.0000e+00,2.5899e-03,0.0000e+00,0,282.7
16,0.008010,20.5592,0.71870,2.26425,2.26425,0.0000e+00,1.9112e-03,0.0000e+00,0,272.5
17,0.007674,20.8267,0.72504,2.29573,2.29573,0.0000e+00,7.0071e-03,0.0000e+00,0,278.9
18,0.007530,20.9508,0.72861,2.32470,2.32470,0.0000e+00,1.8928e-03,0.0000e+00,0,274.0
19,0.007196,21.0216,0.73161,2.35177,2.35177,0.0000e+00,4.7259e-04,0.0000e+00,0,276.9
20,0.006838,21.2192,0.73909,2.37685,2.37685,0.0000e+00,2.9701e-03,0.0000e+00,0,278.6
21,0.006622,21.3596,0.74045,2.39968,2.39968,0.0000e+00,2.0010e-03,0.0000e+00,0,284.3
22,0.006409,21.3466,0.74220,2.42285,2.42285,0.0000e+00,3.5884e-03,0.0000e+00,0,271.0
23,0.006139,21.5682,0.74871,2.44592,2.44592,0.0000e+00,6.5223e-03,0.0000e+00,0,273.6
24,0.006227,21.7508,0.74776,2.46528,2.46528,0.0000e+00,3.0842e-04,0.0000e+00,0,283.7
25,0.005864,21.8463,0.75495,2.48630,2.48630,0.0000e+00,2.3812e-03,0.0000e+00,0,282.3
26,0.005745,21.9211,0.75706,2.50363,2.50363,0.0000e+00,3.2423e-04,0.0000e+00,0,275.2
27,0.005556,22.0457,0.76220,2.52284,2.52284,0.0000e+00,1.0908e-03,0.0000e+00,0,278.1
28,0.005490,22.1355,0.76205,2.53966,2.53966,0.0000e+00,4.2383e-03,0.0000e+00,0,281.7
29,0.005410,22.1718,0.76415,2.55625,2.55625,0.0000e+00,3.2939e-03,0.0000e+00,0,269.6
30,0.005169,22.2795,0.76778,2.57313,2.57313,0.0000e+00,4.3688e-03,0.0000e+00,0,275.8
