epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.077697,12.4058,0.33175,0.48126,0.52068,0.0000e+00,2.9168e-03,1.3766e-03,0,282.0
2,0.053494,13.2377,0.37117,0.64171,0.69353,0.0000e+00,6.6740e-04,6.8398e-04,0,294.1
3,0.044916,14.0714,0.42186,0.82400,0.89322,0.0000e+00,3.2471e-04,3.0505e-04,0,286.7
4,0.034522,15.6114,0.46841,0.97099,1.07985,0.0000e+00,8.1002e-04,1.1746e-03,0,288.6
5,0.024402,16.9270,0.53741,1.05961,1.20617,0.0000e+00,1.7113e-03,2.4445e-03,0,289.5
6,0.017663,18.0635,0.59313,1.14488,1.33214,0.0000e+00,2.3641e-03,4.0528e-03,0,293.6
7,0.014027,18.4317,0.62269,1.20808,1.42383,0.0000e+00,1.9416e-03,3.3859e-03,0,278.3
8,0.012075,19.3022,0.65684,1.25817,1.49692,0.0000e+00,1.3815e-03,2.7758e-03,0,288.4
9,0.010324,19.8703,0.67681,1.29863,1.55441,0.0000e+00,3.1861e-04,8.2080e-04,0,286.1
10,0.009593,19.9890,0.69000,1.33369,1.60302,0.0000e+00,3.9498e-04,9.3655e-04,0,282.8
11,0.008643,20.1930,0.70145,1.36649,1.64958,0.0000e+00,4.9145e-03,8.3109e-03,0,281.8
12,0.007989,20.7393,0.71581,1.39540,1.68931,0.0000e+00,1.0013e-04,2.7292e-04,0,277.5
13,0.007427,20.9498,0.72424,1.42168,1.72735,0.0000e+00,2.5958e-03,4.7814e-03,0,280.1
14,0.007318,21.2668,0.73433,1.44598,1.76182,0.0000e+00,1.8891e-03,3.4181e-03,0,295.9
15,0.006661,21.5321,0.74182,1.46872,1.79474,0.0000e+00,1.2011e-03,2.4059e-03,0,288.9
16,0.006172,21.6611,0.74598,1.48822,1.82323,0.0000e+00,9.9114e-04,2.1789e-03,0,278.1
17,0.006008,21.8121,0.75285,1.50736,1.84968,0.0000e+00,3.8777e-03,6.9622e-03,0,284.8
18,0.006111,21.8664,0.75033,1.52689,1.87659,0.0000e+00,7.3351e-04,1.4847e-03,0,280.3
19,0.005615,22.1022,0.75764,1.54370,1.90066,0.0000e+00,2.8971e-04,6.2512e-04,0,283.0
20,0.005368,21.8747,0.75331,1.56011,1.92451,0.0000e+00,9.9227e-04,1.8261e-03,0,284.8
21,0.005157,22.4428,0.76783,1.57529,1.94571,0.0000e+00,8.7125e-04,2.0771e-03,0,290.5
22,0.004943,22.4022,0.76658,1.58949,1.96577,0.0000e+00,1.8579e-03,4.0082e-03,0,277.2
23,0.004778,22.3481,0.76879,1.60571,1.98898,0.0000e+00,2.3917e-03,4.3777e-03,0,280.3
24,0.004991,22.7409,0.77540,1.62050,2.00946,0.0000e+00,2.3846e-04,5.1603e-04,0,290.0
25,0.004641,22.9276,0.77692,1.63498,2.02964,0.0000e+00,1.4820e-03,2.9274e-03,0,288.8
26,0.004417,23.0168,0.78121,1.64668,2.04609,0.0000e+00,2.4488e-04,9.6945e-04,0,281.6
27,0.004220,23.1458,0.78402,1.66006,2.06480,0.0000e+00,4.8790e-04,9.7420e-04,0,284.3
28,0.004201,23.2533,0.78647,1.67152,2.08100,0.0000e+00,2.4305e-03,4.1028e-03,0,287.9
29,0.004159,23.0842,0.78419,1.68365,2.09754,0.0000e+00,2.1031e-03,3.8378e-03,0,275.6
30,0.004072,23.3796,0.79060,1.69679,2.11495,0.0000e+00,3.1472e-03,5.3113e-03,0,282.1
