epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.083098,11.6465,0.32976,0.45053,0.45053,0.0000e+00,0.0000e+00,0.0000e+00,0,274.5
2,0.058753,12.8519,0.36221,0.61469,0.61469,0.0000e+00,0.0000e+00,0.0000e+00,0,286.1
3,0.050220,13.4803,0.38504,0.76996,0.76996,0.0000e+00,0.0000e+00,0.0000e+00,0,278.4
4,0.044308,13.9518,0.41142,0.91388,0.91388,0.0000e+00,0.0000e+00,0.0000e+00,0,281.0
5,0.038285,14.7497,0.46022,1.05635,1.05635,0.0000e+00,0.0000e+00,0.0000e+00,0,281.4
6,0.032441,15.4675,0.47902,1.20273,1.20273,0.0000e+00,0.0000e+00,0.0000e+00,0,285.0
7,0.026776,16.1859,0.53285,1.31976,1.31976,0.0000e+00,0.0000e+00,0.0000e+00,0,270.1
8,0.022389,16.9881,0.56606,1.40466,1.40466,0.0000e+00,0.0000e+00,0.0000e+00,0,279.8
9,0.019079,17.5308,0.59447,1.47773,1.47773,0.0000e+00,0.0000e+00,0.0000e+00,0,277.9
10,0.016909,18.0088,0.61672,1.54008,1.54008,0.0000e+00,0.0000e+00,0.0000e+00,0,274.5
11,0.015085,18.5087,0.63724,1.59800,1.59800,0.0000e+00,0.0000e+00,0.0000e+00,0,273.9
12,0.013290,18.7939,0.65499,1.64795,1.64795,0.0000e+00,0.0000e+00,0.0000e+00,0,269.9
13,0.012404,19.0871,0.66554,1.68960,1.68960,0.0000e+00,0.0000e+00,0.0000e+00,0,272.6
14,0.011808,19.3679,0.67566,1.72805,1.72805,0.0000e+00,0.0000e+00,0.0000e+00,0,287.7
15,0.010863,19.5842,0.68356,1.76357,1.76357,0.0000e+00,0.0000e+00,0.0000e+00,0,280.9
16,0.010233,19.7451,0.69043,1.79493,1.79493,0.0000e+00,0.0000e+00,0.0000e+00,0,270.4
17,0.009822,19.9499,0.69851,1.82774,1.82774,0.0000e+00,0.0000e+00,0.0000e+00,0,277.1
18,0.009508,20.0900,0.70067,1.85429,1.85429,0.0000e+00,0.0000e+00,0.0000e+00,0,272.4
19,0.009104,20.2200,0.70242,1.87872,1.87872,0.0000e+00,0.0000e+00,0.0000e+00,0,275.1
20,0.008748,20.3446,0.70581,1.90218,1.90218,0.0000e+00,0.0000e+00,0.0000e+00,0,276.8
21,0.008423,20.5431,0.71338,1.92433,1.92433,0.0000e+00,0.0000e+00,0.0000e+00,0,282.6
22,0.008099,20.5886,0.71526,1.94448,1.94448,0.0000e+00,0.0000e+00,0.0000e+00,0,269.3
23,0.007866,20.6953,0.72036,1.96574,1.96574,0.0000e+00,0.0000e+00,0.0000e+00,0,272.1
24,0.007942,20.8291,0.72236,1.98286,1.98286,0.0000e+00,0.0000e+00,0.0000e+00,0,282.1
25,0.007530,20.9098,0.72695,2.00161,2.00161,0.0000e+00,0.0000e+00,0.0000e+00,0,280.7
26,0.007348,21.0544,0.72908,2.01738,2.01738,0.0000e+00,0.0000e+00,0.0000e+00,0,273.8
27,0.007126,21.1304,0.73354,2.03551,2.03551,0.0000e+00,0.0000e+00,0.0000e+00,0,276.5
28,0.007025,21.2506,0.73509,2.04988,2.04988,0.0000e+00,0.0000e+00,0.0000e+00,0,280.2
29,0.006847,21.2433,0.73591,2.06500,2.06500,0.0000e+00,0.0000e+00,0.0000e+00,0,268.3
30,0.006671,21.4328,0.74036,2.07999,2.07999,0.0000e+00,0.0000e+00,0.0000e+00,0,274.8
