epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.069813,11.6214,0.33765,0.55133,0.55133,0.0000e+00,2.8741e-03,0.0000e+00,0,162.2
2,0.049675,12.7455,0.38090,0.76987,0.76987,0.0000e+00,7.0056e-04,0.0000e+00,0,168.6
3,0.042330,13.2076,0.39597,0.95439,0.95439,0.0000e+00,3.1152e-04,0.0000e+00,0,164.6
4,0.038042,13.6051,0.41742,1.12627,1.12627,0.0000e+00,4.3668e-04,0.0000e+00,0,166.2
5,0.032926,14.2257,0.45273,1.28919,1.28919,0.0000e+00,2.6543e-03,0.0000e+00,0,165.6
6,0.026917,14.8544,0.46892,1.44250,1.44250,0.0000e+00,2.5335e-03,0.0000e+00,0,168.3
7,0.021627,15.2972,0.50099,1.57397,1.57397,0.0000e+00,2.1810e-03,0.0000e+00,0,159.9
8,0.018437,15.6937,0.52404,1.69096,1.69096,0.0000e+00,1.0270e-03,0.0000e+00,0,167.5
9,0.015236,16.1150,0.55372,1.80973,1.80973,0.0000e+00,2.8131e-04,0.0000e+00,0,165.4
10,0.013018,16.4607,0.57425,1.89637,1.89637,0.0000e+00,5.9833e-04,0.0000e+00,0,164.1
11,0.011514,16.7639,0.58703,1.96389,1.96389,0.0000e+00,9.8776e-03,0.0000e+00,0,162.6
12,0.010120,16.9691,0.59465,2.01535,2.01535,0.0000e+00,1.7627e-04,0.0000e+00,0,159.9
13,0.009529,17.2060,0.60200,2.06021,2.06021,0.0000e+00,3.3873e-03,0.0000e+00,0,161.5
14,0.009096,17.4555,0.61258,2.09805,2.09805,0.0000e+00,2.3672e-03,0.0000e+00,0,169.6
15,0.008303,17.6652,0.62056,2.13287,2.13287,0.0000e+00,2.1799e-03,0.0000e+00,0,165.9
16,0.007832,17.8349,0.62659,2.16643,2.16643,0.0000e+00,1.5849e-03,0.0000e+00,0,159.6
17,0.007413,18.0283,0.63211,2.19751,2.19751,0.0000e+00,6.5201e-03,0.0000e+00,0,165.4
18,0.007266,18.1764,0.63431,2.22620,2.22620,0.0000e+00,1.1403e-03,0.0000e+00,0,160.3
19,0.006940,18.2928,0.63925,2.25434,2.25434,0.0000e+00,5.3510e-04,0.0000e+00,0,163.1
20,0.006584,18.4376,0.64419,2.28151,2.28151,0.0000e+00,2.1148e-03,0.0000e+00,0,165.8
21,0.006424,18.5170,0.64612,2.30489,2.30489,0.0000e+00,2.0847e-03,0.0000e+00,0,167.8
22,0.006118,18.6368,0.65379,2.32851,2.32851,0.0000e+00,2.7030e-03,0.0000e+00,0,159.5
23,0.005889,18.6026,0.65436,2.35071,2.35071,0.0000e+00,5.0670e-03,0.0000e+00,0,162.2
24,0.006077,18.7287,0.65642,2.37229,2.37229,0.0000e+00,2.2463e-04,0.0000e+00,0,167.8
25,0.005614,18.8617,0.66193,2.39332,2.39332,0.0000e+00,1.8761e-03,0.0000e+00,0,166.0
26,0.005449,18.9108,0.66427,2.41123,2.41123,0.0000e+00,3.0217e-04,0.0000e+00,0,161.7
27,0.005238,19.0035,0.66702,2.43035,2.43035,0.0000e+00,6.2138e-04,0.0000e+00,0,164.0
28,0.005322,19.0291,0.66935,2.44763,2.44763,0.0000e+00,3.6020e-03,0.0000e+00,0,165.1
29,0.005098,19.0774,0.67152,2.46425,2.46425,0.0000e+00,3.9506e-03,0.0000e+00,0,157.8
30,0.005081,19.1538,0.67213,2.48216,2.48216,0.0000e+00,6.7924e-03,0.0000e+00,0,162.2
