epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.055593,14.1058,0.42042,0.30866,0.30866,0.0000e+00,3.6049e-02,0.0000e+00,0,169.0
2,0.033897,15.4322,0.46776,0.46438,0.46438,0.0000e+00,1.1451e-03,0.0000e+00,0,176.5
3,0.026567,15.8686,0.48488,0.59254,0.59254,0.0000e+00,1.3989e-04,0.0000e+00,0,170.8
4,0.023735,16.0508,0.48415,0.67905,0.67905,0.0000e+00,2.8100e-04,0.0000e+00,0,173.0
5,0.022218,16.5407,0.48350,0.77120,0.77120,0.0000e+00,4.3201e-03,0.0000e+00,0,173.7
6,0.019603,16.5956,0.46969,0.89018,0.89018,0.0000e+00,2.9691e-04,0.0000e+00,0,175.5
7,0.017431,17.1430,0.48859,1.01391,1.01391,0.0000e+00,4.4361e-04,0.0000e+00,0,167.5
8,0.014588,18.1412,0.50953,1.14898,1.14898,0.0000e+00,1.6332e-03,0.0000e+00,0,172.5
9,0.011182,19.7139,0.56101,1.22858,1.22858,0.0000e+00,3.4772e-04,0.0000e+00,0,171.4
10,0.009883,20.2437,0.57631,1.29121,1.29121,0.0000e+00,1.6848e-04,0.0000e+00,0,169.2
11,0.008877,20.4581,0.59063,1.35521,1.35521,0.0000e+00,3.0259e-03,0.0000e+00,0,168.2
12,0.008199,20.9996,0.62056,1.41218,1.41218,0.0000e+00,8.5720e-05,0.0000e+00,0,166.0
13,0.007750,21.1004,0.64270,1.46474,1.46474,0.0000e+00,8.8793e-04,0.0000e+00,0,167.4
14,0.007480,21.3663,0.64011,1.50806,1.50806,0.0000e+00,1.3578e-03,0.0000e+00,0,176.9
15,0.007080,21.8066,0.68271,1.55457,1.55457,0.0000e+00,9.2297e-04,0.0000e+00,0,172.5
16,0.006780,21.9993,0.69797,1.59666,1.59666,0.0000e+00,7.5740e-04,0.0000e+00,0,166.5
17,0.006579,22.1570,0.70427,1.63762,1.63762,0.0000e+00,1.7073e-03,0.0000e+00,0,170.3
18,0.006410,22.1180,0.69990,1.67848,1.67848,0.0000e+00,1.0053e-03,0.0000e+00,0,168.7
19,0.006188,22.4150,0.71854,1.71624,1.71624,0.0000e+00,2.0733e-04,0.0000e+00,0,170.5
20,0.006032,22.3944,0.72050,1.75559,1.75559,0.0000e+00,3.2575e-04,0.0000e+00,0,170.7
21,0.005875,22.4440,0.72414,1.78866,1.78866,0.0000e+00,7.2687e-04,0.0000e+00,0,173.6
22,0.005644,22.7742,0.73019,1.82322,1.82322,0.0000e+00,1.4935e-03,0.0000e+00,0,166.6
23,0.005499,22.7967,0.72832,1.85669,1.85669,0.0000e+00,2.4640e-03,0.0000e+00,0,167.7
24,0.005440,22.9093,0.73244,1.88996,1.88996,0.0000e+00,8.8269e-05,0.0000e+00,0,173.9
25,0.005201,22.9787,0.73229,1.92425,1.92425,0.0000e+00,2.2478e-03,0.0000e+00,0,172.7
26,0.005041,23.1110,0.74855,1.95677,1.95677,0.0000e+00,7.7233e-05,0.0000e+00,0,168.1
27,0.004849,23.0422,0.73002,1.99282,1.99282,0.0000e+00,6.2144e-04,0.0000e+00,0,170.7
28,0.004766,23.2596,0.74524,2.02288,2.02288,0.0000e+00,1.6344e-03,0.0000e+00,0,172.5
29,0.004560,23.3326,0.74819,2.05515,2.05515,0.0000e+00,1.8627e-03,0.0000e+00,0,165.3
30,0.004390,23.3437,0.74107,2.08817,2.08817,0.0000e+00,3.3924e-03,0.0000e+00,0,169.3
