epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.068476,11.6833,0.33174,0.55160,0.55160,0.0000e+00,2.9311e-03,0.0000e+00,0,274.0
2,0.048192,12.8366,0.36902,0.76970,0.76970,0.0000e+00,7.1625e-04,0.0000e+00,0,285.8
3,0.040782,13.3009,0.38430,0.95346,0.95346,0.0000e+00,3.0612e-04,0.0000e+00,0,278.5
4,0.036756,13.6426,0.40596,1.11894,1.11894,0.0000e+00,4.2801e-04,0.0000e+00,0,281.0
5,0.031744,14.1878,0.44483,1.28277,1.28277,0.0000e+00,2.4497e-03,0.0000e+00,0,281.5
6,0.025775,14.9027,0.47134,1.44069,1.44069,0.0000e+00,2.5250e-03,0.0000e+00,0,285.3
7,0.020468,15.3177,0.51228,1.57265,1.57265,0.0000e+00,2.4856e-03,0.0000e+00,0,270.2
8,0.017296,15.6391,0.54496,1.69126,1.69126,0.0000e+00,1.0765e-03,0.0000e+00,0,280.1
9,0.014049,15.9666,0.57670,1.80522,1.80522,0.0000e+00,2.2640e-04,0.0000e+00,0,278.0
10,0.011793,16.2549,0.60125,1.88957,1.88957,0.0000e+00,5.3721e-04,0.0000e+00,0,274.7
11,0.010279,16.4521,0.62029,1.95729,1.95729,0.0000e+00,7.5492e-03,0.0000e+00,0,273.9
12,0.008889,16.6575,0.63117,2.01147,2.01147,0.0000e+00,1.7595e-04,0.0000e+00,0,270.0
13,0.008215,16.8691,0.63856,2.05924,2.05924,0.0000e+00,3.9681e-03,0.0000e+00,0,272.5
14,0.007800,17.0426,0.65226,2.09729,2.09729,0.0000e+00,2.7155e-03,0.0000e+00,0,287.5
15,0.007075,17.1828,0.66005,2.13185,2.13185,0.0000e+00,2.4016e-03,0.0000e+00,0,280.8
16,0.006663,17.2710,0.66502,2.16552,2.16552,0.0000e+00,1.3609e-03,0.0000e+00,0,270.6
17,0.006265,17.3380,0.67062,2.19633,2.19633,0.0000e+00,5.0396e-03,0.0000e+00,0,276.9
18,0.006153,17.3888,0.67164,2.22272,2.22272,0.0000e+00,8.1784e-04,0.0000e+00,0,272.5
19,0.005895,17.4852,0.67771,2.24966,2.24966,0.0000e+00,4.6961e-04,0.0000e+00,0,275.6
20,0.005578,17.5775,0.68343,2.27551,2.27551,0.0000e+00,1.4491e-03,0.0000e+00,0,277.0
21,0.005438,17.5852,0.68368,2.29811,2.29811,0.0000e+00,2.4078e-03,0.0000e+00,0,282.6
22,0.005220,17.6563,0.69017,2.32086,2.32086,0.0000e+00,3.1725e-03,0.0000e+00,0,269.5
23,0.004946,17.6417,0.69399,2.34282,2.34282,0.0000e+00,4.2573e-03,0.0000e+00,0,272.3
24,0.005052,17.7138,0.69499,2.36221,2.36221,0.0000e+00,2.0508e-04,0.0000e+00,0,282.3
25,0.004700,17.7304,0.69866,2.38281,2.38281,0.0000e+00,1.5862e-03,0.0000e+00,0,280.8
26,0.004597,17.8282,0.70342,2.40124,2.40124,0.0000e+00,2.8961e-04,0.0000e+00,0,274.0
27,0.004364,17.8362,0.70754,2.42042,2.42042,0.0000e+00,5.9439e-04,0.0000e+00,0,276.5
28,0.004498,17.8305,0.70850,2.43784,2.43784,0.0000e+00,4.4737e-03,0.0000e+00,0,280.3
29,0.004561,17.8657,0.70421,2.45700,2.45700,0.0000e+00,5.0548e-03,0.0000e+00,0,268.1
30,0.004168,17.9660,0.71139,2.47407,2.47407,0.0000e+00,5.8025e-03,0.0000e+00,0,274.6
