epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.069259,11.6937,0.33191,0.55192,0.55192,0.0000e+00,2.8683e-03,0.0000e+00,0,274.4
2,0.048851,12.8578,0.36922,0.76938,0.76938,0.0000e+00,7.1063e-04,0.0000e+00,0,286.4
3,0.041470,13.3333,0.38550,0.95188,0.95188,0.0000e+00,3.1153e-04,0.0000e+00,0,279.1
4,0.037339,13.7055,0.40939,1.12011,1.12011,0.0000e+00,4.4018e-04,0.0000e+00,0,281.3
5,0.032361,14.3269,0.44976,1.28530,1.28530,0.0000e+00,2.5080e-03,0.0000e+00,0,281.9
6,0.026439,15.0131,0.47608,1.44145,1.44145,0.0000e+00,2.6507e-03,0.0000e+00,0,285.8
7,0.020938,15.5045,0.51936,1.57411,1.57411,0.0000e+00,2.2229e-03,0.0000e+00,0,270.8
8,0.017624,15.9223,0.55095,1.69068,1.69068,0.0000e+00,1.0635e-03,0.0000e+00,0,280.7
9,0.014401,16.3774,0.58758,1.81014,1.81014,0.0000e+00,2.6203e-04,0.0000e+00,0,278.4
10,0.012180,16.7175,0.60940,1.89748,1.89748,0.0000e+00,6.1438e-04,0.0000e+00,0,275.3
11,0.010687,17.0592,0.62889,1.96510,1.96510,0.0000e+00,8.0441e-03,0.0000e+00,0,274.6
12,0.009298,17.2729,0.63947,2.01722,2.01722,0.0000e+00,1.7029e-04,0.0000e+00,0,270.7
13,0.008718,17.5129,0.64608,2.06218,2.06218,0.0000e+00,3.6012e-03,0.0000e+00,0,273.2
14,0.008296,17.7909,0.65805,2.10014,2.10014,0.0000e+00,2.5846e-03,0.0000e+00,0,288.3
15,0.007517,17.9825,0.66819,2.13523,2.13523,0.0000e+00,2.3563e-03,0.0000e+00,0,281.5
16,0.007071,18.1390,0.67361,2.16955,2.16955,0.0000e+00,1.5230e-03,0.0000e+00,0,271.2
17,0.006668,18.3187,0.68258,2.20127,2.20127,0.0000e+00,5.9461e-03,0.0000e+00,0,277.5
18,0.006545,18.4444,0.68484,2.22937,2.22937,0.0000e+00,1.0241e-03,0.0000e+00,0,273.0
19,0.006278,18.5893,0.69005,2.25717,2.25717,0.0000e+00,5.5632e-04,0.0000e+00,0,275.9
20,0.005930,18.7100,0.69556,2.28383,2.28383,0.0000e+00,1.4603e-03,0.0000e+00,0,277.6
21,0.005765,18.8327,0.70019,2.30653,2.30653,0.0000e+00,2.0415e-03,0.0000e+00,0,283.2
22,0.005487,19.0123,0.70666,2.32951,2.32951,0.0000e+00,2.6155e-03,0.0000e+00,0,270.1
23,0.005266,18.9986,0.70913,2.35233,2.35233,0.0000e+00,5.2584e-03,0.0000e+00,0,272.8
24,0.005425,19.1052,0.71075,2.37276,2.37276,0.0000e+00,1.9694e-04,0.0000e+00,0,282.7
25,0.004985,19.2681,0.71752,2.39397,2.39397,0.0000e+00,1.4562e-03,0.0000e+00,0,281.4
26,0.004863,19.3179,0.71964,2.41150,2.41150,0.0000e+00,2.8120e-04,0.0000e+00,0,274.5
27,0.004662,19.4008,0.72354,2.43178,2.43178,0.0000e+00,5.5655e-04,0.0000e+00,0,276.8
28,0.004670,19.4591,0.72580,2.44907,2.44907,0.0000e+00,3.1845e-03,0.0000e+00,0,280.7
29,0.004634,19.4479,0.72638,2.46742,2.46742,0.0000e+00,3.1417e-03,0.0000e+00,0,268.4
30,0.004451,19.5160,0.72829,2.48609,2.48609,0.0000e+00,5.6821e-03,0.0000e+00,0,275.1
