epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.076392,12.6476,0.33067,0.65269,0.65269,0.0000e+00,2.1450e-03,0.0000e+00,0,159.4
2,0.043211,13.5923,0.36875,0.88224,0.88224,0.0000e+00,9.6004e-04,0.0000e+00,0,167.8
3,0.034345,14.2856,0.41034,1.04097,1.04097,0.0000e+00,8.4652e-04,0.0000e+00,0,162.3
4,0.026717,15.5604,0.45593,1.21771,1.21771,0.0000e+00,1.7088e-03,0.0000e+00,0,163.7
5,0.021485,16.1182,0.48196,1.34904,1.34904,0.0000e+00,4.6354e-03,0.0000e+00,0,168.6
6,0.019380,16.4261,0.50012,1.46032,1.46032,0.0000e+00,1.7762e-03,0.0000e+00,0,166.2
7,0.017805,16.5946,0.50452,1.57203,1.57203,0.0000e+00,8.2097e-04,0.0000e+00,0,158.9
8,0.016926,16.8737,0.52332,1.66077,1.66077,0.0000e+00,4.1469e-03,0.0000e+00,0,162.6
9,0.015999,17.0695,0.52642,1.74713,1.74713,0.0000e+00,9.8577e-04,0.0000e+00,0,161.5
10,0.015192,17.1259,0.53104,1.82111,1.82111,0.0000e+00,5.0122e-04,0.0000e+00,0,160.1
11,0.014398,17.4616,0.55473,1.89122,1.89122,0.0000e+00,3.0359e-03,0.0000e+00,0,160.1
12,0.013710,17.5880,0.56056,1.95630,1.95630,0.0000e+00,1.8234e-04,0.0000e+00,0,157.0
13,0.013221,17.7056,0.56886,2.01628,2.01628,0.0000e+00,3.1105e-03,0.0000e+00,0,158.4
14,0.012862,17.8196,0.57459,2.06881,2.06881,0.0000e+00,5.2251e-03,0.0000e+00,0,167.5
15,0.012203,17.8950,0.57971,2.12124,2.12124,0.0000e+00,2.6219e-03,0.0000e+00,0,163.4
16,0.011738,18.0415,0.58150,2.16515,2.16515,0.0000e+00,5.0295e-03,0.0000e+00,0,158.0
17,0.011342,18.2055,0.59247,2.20595,2.20595,0.0000e+00,2.1737e-03,0.0000e+00,0,160.8
18,0.011078,18.1860,0.59397,2.24505,2.24505,0.0000e+00,2.8421e-03,0.0000e+00,0,159.0
19,0.010746,18.3535,0.59957,2.27989,2.27989,0.0000e+00,7.9734e-04,0.0000e+00,0,161.7
20,0.010414,18.3678,0.59871,2.31213,2.31213,0.0000e+00,5.0523e-03,0.0000e+00,0,163.0
21,0.010206,18.5050,0.60379,2.34088,2.34088,0.0000e+00,9.0134e-04,0.0000e+00,0,165.7
22,0.009903,18.5942,0.60930,2.36943,2.36943,0.0000e+00,5.2282e-03,0.0000e+00,0,156.7
23,0.009621,18.6235,0.61164,2.39642,2.39642,0.0000e+00,5.4048e-04,0.0000e+00,0,161.3
24,0.009751,18.7130,0.61087,2.42096,2.42096,0.0000e+00,9.5121e-04,0.0000e+00,0,165.3
25,0.009364,18.7983,0.61544,2.44168,2.44168,0.0000e+00,6.3585e-03,0.0000e+00,0,163.8
26,0.009210,18.7868,0.61762,2.46275,2.46275,0.0000e+00,1.7114e-04,0.0000e+00,0,159.7
27,0.008942,18.9212,0.61951,2.48341,2.48341,0.0000e+00,3.1493e-03,0.0000e+00,0,161.2
28,0.008817,19.0031,0.62175,2.50193,2.50193,0.0000e+00,5.3730e-03,0.0000e+00,0,165.8
29,0.008722,19.0152,0.62497,2.52065,2.52065,0.0000e+00,5.3855e-03,0.0000e+00,0,157.1
30,0.008549,19.0696,0.62532,2.53993,2.53993,0.0000e+00,5.5698e-03,0.0000e+00,0,161.4
