epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.095760,12.7613,0.46602,0.58425,0.58425,0.0000e+00,7.7363e-03,0.0000e+00,0,164.0
2,0.045586,13.3772,0.48753,0.77937,0.77937,0.0000e+00,8.8789e-04,0.0000e+00,0,172.0
3,0.038179,14.1303,0.51822,0.91441,0.91441,0.0000e+00,3.9764e-04,0.0000e+00,0,167.3
4,0.030751,15.5764,0.57181,1.07005,1.07005,0.0000e+00,4.8499e-04,0.0000e+00,0,169.8
5,0.023980,16.7883,0.60346,1.18380,1.18380,0.0000e+00,1.6310e-03,0.0000e+00,0,170.0
6,0.020118,17.4754,0.62131,1.29623,1.29623,0.0000e+00,2.8041e-03,0.0000e+00,0,171.5
7,0.017638,17.9466,0.63949,1.41125,1.41125,0.0000e+00,2.1220e-03,0.0000e+00,0,163.1
8,0.015851,18.2161,0.65235,1.51371,1.51371,0.0000e+00,8.9004e-04,0.0000e+00,0,169.1
9,0.014270,18.5289,0.66486,1.60696,1.60696,0.0000e+00,1.2505e-04,0.0000e+00,0,168.1
10,0.013124,18.7907,0.67439,1.68908,1.68908,0.0000e+00,2.1396e-04,0.0000e+00,0,165.2
11,0.012076,19.0478,0.68338,1.76989,1.76989,0.0000e+00,5.6645e-03,0.0000e+00,0,164.9
12,0.010979,19.2701,0.69043,1.84331,1.84331,0.0000e+00,1.3047e-04,0.0000e+00,0,162.8
13,0.010323,19.4266,0.69682,1.91143,1.91143,0.0000e+00,4.0316e-03,0.0000e+00,0,164.3
14,0.009917,19.7184,0.70617,1.96931,1.96931,0.0000e+00,3.5876e-03,0.0000e+00,0,173.4
15,0.009198,19.8244,0.70991,2.02293,2.02293,0.0000e+00,2.3393e-03,0.0000e+00,0,169.3
16,0.008655,20.0266,0.71633,2.07113,2.07113,0.0000e+00,9.2650e-04,0.0000e+00,0,163.3
17,0.008243,20.2246,0.72069,2.11924,2.11924,0.0000e+00,4.9384e-03,0.0000e+00,0,166.8
18,0.008186,20.1214,0.72208,2.15913,2.15913,0.0000e+00,1.2392e-03,0.0000e+00,0,163.9
19,0.007793,20.3479,0.72794,2.19573,2.19573,0.0000e+00,3.0238e-04,0.0000e+00,0,166.2
20,0.007471,20.3483,0.72750,2.22912,2.22912,0.0000e+00,3.8890e-03,0.0000e+00,0,166.8
21,0.007239,20.5750,0.73391,2.25970,2.25970,0.0000e+00,1.2834e-03,0.0000e+00,0,169.8
22,0.006889,20.6082,0.73505,2.28790,2.28790,0.0000e+00,4.5506e-03,0.0000e+00,0,161.9
23,0.006721,20.6292,0.73762,2.31726,2.31726,0.0000e+00,1.2310e-03,0.0000e+00,0,163.7
24,0.006803,20.6696,0.74013,2.34269,2.34269,0.0000e+00,2.1698e-04,0.0000e+00,0,169.8
25,0.006411,20.8886,0.74489,2.36771,2.36771,0.0000e+00,2.1828e-03,0.0000e+00,0,168.8
26,0.006294,20.9167,0.74523,2.38998,2.38998,0.0000e+00,2.9127e-04,0.0000e+00,0,164.1
27,0.006053,21.0826,0.74990,2.41506,2.41506,0.0000e+00,7.2052e-04,0.0000e+00,0,166.5
28,0.006021,21.0727,0.75099,2.43581,2.43581,0.0000e+00,5.6101e-03,0.0000e+00,0,168.5
29,0.005853,21.0833,0.75112,2.45661,2.45661,0.0000e+00,3.4252e-03,0.0000e+00,0,162.1
30,0.005684,21.2399,0.75497,2.47878,2.47878,0.0000e+00,4.3164e-03,0.0000e+00,0,165.5
