epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.075165,10.9469,0.30384,0.49772,0.49772,0.0000e+00,2.7058e-02,0.0000e+00,0,156.7
2,0.056622,11.7586,0.35646,0.68927,0.68927,0.0000e+00,1.4672e-03,0.0000e+00,0,163.5
3,0.052982,11.9841,0.35764,0.84530,0.84530,0.0000e+00,3.5579e-04,0.0000e+00,0,159.5
4,0.050817,12.2150,0.35988,0.93187,0.93187,0.0000e+00,7.3537e-04,0.0000e+00,0,160.8
5,0.049575,12.3250,0.36679,1.01644,1.01644,0.0000e+00,5.3281e-03,0.0000e+00,0,162.0
6,0.048522,12.4476,0.36441,1.08761,1.08761,0.0000e+00,1.8504e-03,0.0000e+00,0,163.5
7,0.048158,12.4928,0.37051,1.17646,1.17646,0.0000e+00,3.1133e-03,0.0000e+00,0,154.7
8,0.048109,12.4023,0.37188,1.26220,1.26220,0.0000e+00,1.2805e-02,0.0000e+00,0,160.3
9,0.047958,12.5939,0.37131,1.35358,1.35358,0.0000e+00,1.3943e-03,0.0000e+00,0,159.2
10,0.047416,12.5690,0.37393,1.43166,1.43166,0.0000e+00,1.2801e-03,0.0000e+00,0,157.4
11,0.048034,12.6478,0.37224,1.47061,1.47061,0.0000e+00,3.4089e-02,0.0000e+00,0,157.1
12,0.046435,12.6484,0.37878,1.53883,1.53883,0.0000e+00,8.6514e-04,0.0000e+00,0,155.2
13,0.046475,12.4723,0.38142,1.58556,1.58556,0.0000e+00,1.4383e-02,0.0000e+00,0,156.3
14,0.045957,12.4453,0.38548,1.62519,1.62519,0.0000e+00,7.1070e-03,0.0000e+00,0,164.9
15,0.045418,12.7035,0.37902,1.66572,1.66572,0.0000e+00,2.0156e-03,0.0000e+00,0,160.8
16,0.045351,12.5953,0.38527,1.68674,1.68674,0.0000e+00,2.4873e-03,0.0000e+00,0,155.2
17,0.045219,12.4758,0.39096,1.71759,1.71759,0.0000e+00,1.1617e-02,0.0000e+00,0,158.6
18,0.045772,12.5791,0.39061,1.75610,1.75610,0.0000e+00,1.9645e-03,0.0000e+00,0,156.4
19,0.045212,12.5819,0.39534,1.77771,1.77771,0.0000e+00,1.5254e-03,0.0000e+00,0,157.9
20,0.045208,12.6243,0.39637,1.80559,1.80559,0.0000e+00,5.5900e-03,0.0000e+00,0,159.1
21,0.044893,12.5794,0.40018,1.82970,1.82970,0.0000e+00,7.7375e-04,0.0000e+00,0,162.0
22,0.044655,12.5969,0.39980,1.85909,1.85909,0.0000e+00,1.7728e-03,0.0000e+00,0,154.4
23,0.044819,12.6190,0.40331,1.88489,1.88489,0.0000e+00,7.6854e-03,0.0000e+00,0,156.1
24,0.044654,12.6707,0.40884,1.91063,1.91063,0.0000e+00,9.6830e-04,0.0000e+00,0,161.6
25,0.044352,12.5666,0.40787,1.93079,1.93079,0.0000e+00,4.9789e-03,0.0000e+00,0,161.0
26,0.044589,12.6182,0.40907,1.95646,1.95646,0.0000e+00,1.0071e-03,0.0000e+00,0,157.1
27,0.044530,12.6474,0.40819,1.98048,1.98048,0.0000e+00,8.5887e-04,0.0000e+00,0,158.7
28,0.045019,12.7205,0.40755,1.99687,1.99687,0.0000e+00,2.2678e-02,0.0000e+00,0,160.5
29,0.044844,12.7084,0.40735,2.01903,2.01903,0.0000e+00,1.4884e-03,0.0000e+00,0,153.9
30,0.044140,12.6439,0.41324,2.03570,2.03570,0.0000e+00,1.0108e-01,0.0000e+00,0,157.4
