epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.079020,10.4489,0.26793,0.45561,0.45561,0.0000e+00,6.2718e-02,0.0000e+00,0,303.9
2,0.063699,11.1163,0.31472,0.67834,0.67834,0.0000e+00,1.0076e-02,0.0000e+00,0,317.0
3,0.060209,11.2602,0.33735,0.86028,0.86028,0.0000e+00,1.1766e-03,0.0000e+00,0,309.3
4,0.058719,11.5102,0.35334,0.98440,0.98440,0.0000e+00,6.1127e-03,0.0000e+00,0,311.8
5,0.056576,11.6982,0.35747,1.05606,1.05606,0.0000e+00,7.1919e-03,0.0000e+00,0,312.0
6,0.053937,11.9636,0.35185,1.12366,1.12366,0.0000e+00,5.5593e-03,0.0000e+00,0,316.2
7,0.052481,11.8113,0.34944,1.20880,1.20880,0.0000e+00,1.3090e-02,0.0000e+00,0,299.3
8,0.054543,11.6560,0.35270,1.26914,1.26914,0.0000e+00,3.2054e-02,0.0000e+00,0,310.3
9,0.055138,11.7740,0.34750,1.33543,1.33543,0.0000e+00,1.3583e-02,0.0000e+00,0,308.9
10,0.054994,11.8417,0.35024,1.38225,1.38225,0.0000e+00,1.7622e-03,0.0000e+00,0,305.3
11,0.054987,11.8161,0.35216,1.41464,1.41464,0.0000e+00,1.0812e-01,0.0000e+00,0,304.4
12,0.054515,11.7688,0.35442,1.48156,1.48156,0.0000e+00,2.2061e-03,0.0000e+00,0,299.6
13,0.054813,11.7623,0.35623,1.53468,1.53468,0.0000e+00,4.2684e-02,0.0000e+00,0,302.6
14,0.054836,11.7867,0.36078,1.55944,1.55944,0.0000e+00,7.3355e-02,0.0000e+00,0,319.3
15,0.055125,11.7972,0.35420,1.59347,1.59347,0.0000e+00,1.3933e-03,0.0000e+00,0,311.7
16,0.053300,11.8492,0.36213,1.62173,1.62173,0.0000e+00,9.5823e-03,0.0000e+00,0,300.7
17,0.054126,11.7985,0.36198,1.66066,1.66066,0.0000e+00,4.1492e-02,0.0000e+00,0,308.0
18,0.054596,11.7977,0.36312,1.69650,1.69650,0.0000e+00,3.8698e-03,0.0000e+00,0,304.5
19,0.054075,11.7488,0.36416,1.73139,1.73139,0.0000e+00,6.1231e-03,0.0000e+00,0,309.4
20,0.054400,11.7106,0.36622,1.76096,1.76096,0.0000e+00,5.0748e-02,0.0000e+00,0,311.0
21,0.054588,11.7356,0.36661,1.78407,1.78407,0.0000e+00,4.5357e-03,0.0000e+00,0,314.5
22,0.054836,11.7095,0.36675,1.82586,1.82586,0.0000e+00,3.6101e-03,0.0000e+00,0,299.2
23,0.054062,11.8307,0.36748,1.85445,1.85445,0.0000e+00,4.1275e-02,0.0000e+00,0,302.4
24,0.053399,11.8226,0.37130,1.88854,1.88854,0.0000e+00,1.3254e-03,0.0000e+00,0,313.7
25,0.054006,11.7597,0.37215,1.90733,1.90733,0.0000e+00,7.4204e-02,0.0000e+00,0,312.4
26,0.054414,11.7871,0.37019,1.93343,1.93343,0.0000e+00,2.8893e-03,0.0000e+00,0,304.7
27,0.054106,11.7813,0.37526,1.95416,1.95416,0.0000e+00,1.6114e-03,0.0000e+00,0,307.5
28,0.054989,11.7925,0.37631,1.97544,1.97544,0.0000e+00,6.4603e-02,0.0000e+00,0,310.7
29,0.055215,11.8129,0.37059,1.99576,1.99576,0.0000e+00,8.9978e-03,0.0000e+00,0,297.8
30,0.054049,11.8841,0.37698,2.00821,2.00821,0.0000e+00,2.3640e-01,0.0000e+00,0,304.6
