epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.075176,10.9101,0.30258,0.95000,0.95000,0.0000e+00,8.5892e-03,0.0000e+00,0,158.9
2,0.056504,11.9799,0.35394,1.43096,1.43096,0.0000e+00,7.6852e-04,0.0000e+00,0,165.9
3,0.052416,11.9783,0.34289,1.63738,1.63738,0.0000e+00,4.2026e-04,0.0000e+00,0,162.0
4,0.051464,12.2122,0.35597,1.76926,1.76926,0.0000e+00,4.4196e-04,0.0000e+00,0,164.5
5,0.050393,12.3621,0.36160,1.90492,1.90492,0.0000e+00,2.7502e-03,0.0000e+00,0,164.1
6,0.049434,12.4329,0.36416,2.02042,2.02042,0.0000e+00,8.5889e-04,0.0000e+00,0,165.5
7,0.049061,12.4057,0.36791,2.21026,2.21026,0.0000e+00,1.6583e-03,0.0000e+00,0,156.7
8,0.049681,12.3791,0.36393,2.34078,2.34078,0.0000e+00,6.4109e-03,0.0000e+00,0,162.7
9,0.049037,12.4754,0.36904,2.49953,2.49953,0.0000e+00,6.9417e-04,0.0000e+00,0,161.2
10,0.048990,12.3623,0.37187,2.60883,2.60883,0.0000e+00,1.7461e-04,0.0000e+00,0,160.9
11,0.048967,12.5734,0.37010,2.71012,2.71012,0.0000e+00,4.8891e-03,0.0000e+00,0,159.3
12,0.047829,12.5002,0.37651,2.82449,2.82449,0.0000e+00,4.2310e-04,0.0000e+00,0,158.2
13,0.047880,12.5024,0.37614,2.93911,2.93911,0.0000e+00,7.0859e-03,0.0000e+00,0,160.4
14,0.046959,12.5211,0.38095,3.01136,3.01136,0.0000e+00,4.2350e-03,0.0000e+00,0,168.4
15,0.046380,12.7049,0.37829,3.10025,3.10025,0.0000e+00,7.7191e-04,0.0000e+00,0,163.9
16,0.046165,12.6630,0.38389,3.14693,3.14693,0.0000e+00,2.4009e-03,0.0000e+00,0,159.3
17,0.046139,12.5970,0.38970,3.20534,3.20534,0.0000e+00,7.2269e-03,0.0000e+00,0,161.3
18,0.046357,12.6897,0.38707,3.27973,3.27973,0.0000e+00,8.0522e-04,0.0000e+00,0,158.2
19,0.045822,12.6430,0.39240,3.32718,3.32718,0.0000e+00,9.4898e-04,0.0000e+00,0,159.7
20,0.046214,12.6766,0.39041,3.38801,3.38801,0.0000e+00,1.4522e-03,0.0000e+00,0,161.0
21,0.045107,12.6853,0.39946,3.43385,3.43385,0.0000e+00,2.2716e-03,0.0000e+00,0,164.3
22,0.045679,12.7154,0.39758,3.49874,3.49874,0.0000e+00,1.2823e-03,0.0000e+00,0,156.8
23,0.045724,12.6636,0.39936,3.54868,3.54868,0.0000e+00,3.6244e-03,0.0000e+00,0,158.7
24,0.045432,12.6959,0.40699,3.61420,3.61420,0.0000e+00,2.9970e-04,0.0000e+00,0,164.5
25,0.045473,12.5607,0.40464,3.65504,3.65504,0.0000e+00,3.4930e-03,0.0000e+00,0,164.3
26,0.045169,12.6235,0.40663,3.71379,3.71379,0.0000e+00,1.8790e-03,0.0000e+00,0,159.9
27,0.045746,12.6824,0.40711,3.75497,3.75497,0.0000e+00,5.2690e-04,0.0000e+00,0,161.3
28,0.045532,12.6166,0.40911,3.79777,3.79777,0.0000e+00,2.4401e-02,0.0000e+00,0,162.2
29,0.045487,12.8195,0.40361,3.84956,3.84956,0.0000e+00,1.5031e-03,0.0000e+00,0,155.3
30,0.044644,12.7212,0.41024,3.87664,3.87664,0.0000e+00,2.1574e-02,0.0000e+00,0,159.2
