epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.074869,10.9300,0.30298,0.24318,0.24318,0.0000e+00,3.6537e-02,0.0000e+00,0,278.2
2,0.056244,11.9519,0.34869,0.36191,0.36191,0.0000e+00,4.0996e-03,0.0000e+00,0,289.7
3,0.052360,11.9808,0.34337,0.42222,0.42222,0.0000e+00,1.5323e-03,0.0000e+00,0,282.5
4,0.051421,12.2184,0.35640,0.46312,0.46312,0.0000e+00,1.5220e-03,0.0000e+00,0,284.8
5,0.049962,12.4085,0.36216,0.50333,0.50333,0.0000e+00,1.2270e-02,0.0000e+00,0,285.5
6,0.048956,12.4908,0.36499,0.53985,0.53985,0.0000e+00,3.9351e-03,0.0000e+00,0,289.4
7,0.048682,12.4228,0.37153,0.59487,0.59487,0.0000e+00,5.0908e-03,0.0000e+00,0,274.1
8,0.048896,12.3611,0.37466,0.64183,0.64183,0.0000e+00,2.4004e-02,0.0000e+00,0,283.9
9,0.049323,12.4315,0.37553,0.69566,0.69566,0.0000e+00,3.0333e-03,0.0000e+00,0,282.0
10,0.048914,12.4131,0.37966,0.73556,0.73556,0.0000e+00,5.8645e-04,0.0000e+00,0,278.6
11,0.048499,12.5729,0.37626,0.76297,0.76297,0.0000e+00,4.3866e-02,0.0000e+00,0,277.9
12,0.047423,12.5565,0.38248,0.78983,0.78983,0.0000e+00,1.3634e-03,0.0000e+00,0,273.6
13,0.047238,12.4867,0.38276,0.81712,0.81712,0.0000e+00,1.4514e-02,0.0000e+00,0,276.5
14,0.046656,12.5234,0.38516,0.83487,0.83487,0.0000e+00,1.8024e-02,0.0000e+00,0,291.9
15,0.046225,12.7162,0.38155,0.85317,0.85317,0.0000e+00,6.1130e-03,0.0000e+00,0,284.7
16,0.046078,12.6555,0.38684,0.86324,0.86324,0.0000e+00,5.5974e-03,0.0000e+00,0,274.3
17,0.046067,12.5551,0.39454,0.87694,0.87694,0.0000e+00,3.1809e-02,0.0000e+00,0,280.9
18,0.046105,12.6340,0.39563,0.89755,0.89755,0.0000e+00,3.6380e-03,0.0000e+00,0,276.1
19,0.045564,12.6333,0.39898,0.90959,0.90959,0.0000e+00,3.8062e-03,0.0000e+00,0,278.7
20,0.046068,12.5779,0.40072,0.92337,0.92337,0.0000e+00,3.3718e-03,0.0000e+00,0,280.5
21,0.045616,12.6239,0.40311,0.93408,0.93408,0.0000e+00,1.5018e-03,0.0000e+00,0,286.2
22,0.045622,12.6663,0.40121,0.94921,0.94921,0.0000e+00,3.4711e-03,0.0000e+00,0,273.0
23,0.045562,12.6951,0.40681,0.96201,0.96201,0.0000e+00,1.3633e-02,0.0000e+00,0,275.7
24,0.045486,12.6042,0.41265,0.97287,0.97287,0.0000e+00,1.0396e-03,0.0000e+00,0,285.6
25,0.045037,12.5907,0.41015,0.98189,0.98189,0.0000e+00,8.1917e-03,0.0000e+00,0,284.7
26,0.045218,12.6791,0.41074,0.99133,0.99133,0.0000e+00,4.0268e-03,0.0000e+00,0,277.7
27,0.045621,12.6619,0.41156,1.00026,1.00026,0.0000e+00,2.2382e-03,0.0000e+00,0,280.3
28,0.045776,12.6321,0.41363,1.01314,1.01314,0.0000e+00,1.2100e-01,0.0000e+00,0,284.0
29,0.045391,12.7384,0.41045,1.02404,1.02404,0.0000e+00,5.5467e-02,0.0000e+00,0,271.6
30,0.045385,12.5647,0.41638,1.03011,1.03011,0.0000e+00,3.2057e-01,0.0000e+00,0,278.1
