epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.074999,10.9273,0.30339,0.34561,0.34561,0.0000e+00,2.1532e-02,0.0000e+00,0,280.7
2,0.056383,11.9799,0.35498,0.51958,0.51958,0.0000e+00,2.3920e-03,0.0000e+00,0,292.8
3,0.052343,11.9635,0.34291,0.59408,0.59408,0.0000e+00,1.1651e-03,0.0000e+00,0,285.3
4,0.051460,12.2140,0.35684,0.64269,0.64269,0.0000e+00,1.0673e-03,0.0000e+00,0,287.6
5,0.050254,12.3657,0.36354,0.69468,0.69468,0.0000e+00,1.0540e-02,0.0000e+00,0,288.3
6,0.049244,12.4445,0.36194,0.74062,0.74062,0.0000e+00,2.7415e-03,0.0000e+00,0,292.3
7,0.048946,12.3554,0.36445,0.79815,0.79815,0.0000e+00,4.0890e-03,0.0000e+00,0,276.8
8,0.049455,12.3019,0.36903,0.85429,0.85429,0.0000e+00,8.7966e-03,0.0000e+00,0,287.1
9,0.049194,12.4797,0.36890,0.92880,0.92880,0.0000e+00,2.5285e-03,0.0000e+00,0,284.9
10,0.049250,12.3079,0.37515,0.98183,0.98183,0.0000e+00,5.7351e-04,0.0000e+00,0,281.4
11,0.048756,12.5371,0.37118,1.02246,1.02246,0.0000e+00,3.7219e-02,0.0000e+00,0,280.6
12,0.047808,12.4401,0.37895,1.06037,1.06037,0.0000e+00,1.1054e-03,0.0000e+00,0,276.3
13,0.048200,12.4598,0.37734,1.09976,1.09976,0.0000e+00,2.1753e-02,0.0000e+00,0,279.3
14,0.047184,12.4738,0.38167,1.12416,1.12416,0.0000e+00,1.9388e-02,0.0000e+00,0,294.8
15,0.046764,12.6583,0.37936,1.15122,1.15122,0.0000e+00,2.1271e-03,0.0000e+00,0,287.7
16,0.046479,12.6122,0.38463,1.16678,1.16678,0.0000e+00,7.0737e-03,0.0000e+00,0,277.3
17,0.046336,12.6075,0.39062,1.18977,1.18977,0.0000e+00,1.3509e-02,0.0000e+00,0,283.6
18,0.046479,12.7068,0.38919,1.21568,1.21568,0.0000e+00,2.4263e-03,0.0000e+00,0,279.1
19,0.045948,12.5901,0.39566,1.22954,1.22954,0.0000e+00,1.9661e-03,0.0000e+00,0,282.4
20,0.045951,12.6912,0.39328,1.24953,1.24953,0.0000e+00,6.8305e-03,0.0000e+00,0,284.2
21,0.045492,12.6660,0.40152,1.26468,1.26468,0.0000e+00,1.8654e-03,0.0000e+00,0,289.8
22,0.045700,12.7369,0.39859,1.28530,1.28530,0.0000e+00,4.4835e-03,0.0000e+00,0,276.6
23,0.045783,12.7158,0.40349,1.30566,1.30566,0.0000e+00,8.5803e-03,0.0000e+00,0,279.3
24,0.045707,12.6065,0.40762,1.32260,1.32260,0.0000e+00,8.2715e-04,0.0000e+00,0,289.6
25,0.045445,12.5727,0.40637,1.33713,1.33713,0.0000e+00,5.6843e-03,0.0000e+00,0,287.9
26,0.045250,12.6806,0.40939,1.35369,1.35369,0.0000e+00,2.4724e-03,0.0000e+00,0,280.6
27,0.045772,12.6434,0.40960,1.36880,1.36880,0.0000e+00,1.0820e-03,0.0000e+00,0,283.6
28,0.045510,12.5972,0.40916,1.38169,1.38169,0.0000e+00,1.0138e-01,0.0000e+00,0,286.9
29,0.045505,12.7900,0.40812,1.39738,1.39738,0.0000e+00,3.2644e-03,0.0000e+00,0,274.5
30,0.044939,12.6704,0.41230,1.40680,1.40680,0.0000e+00,8.9763e-02,0.0000e+00,0,281.3
