epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.075326,10.8902,0.30219,1.31312,1.31312,0.0000e+00,5.7434e-03,0.0000e+00,0,277.5
2,0.056635,11.9760,0.35393,1.98943,1.98943,0.0000e+00,5.5193e-04,0.0000e+00,0,289.2
3,0.052423,11.9678,0.34414,2.28680,2.28680,0.0000e+00,2.7981e-04,0.0000e+00,0,282.0
4,0.051492,12.2361,0.35760,2.47057,2.47057,0.0000e+00,3.1002e-04,0.0000e+00,0,284.1
5,0.050388,12.3597,0.36270,2.65355,2.65355,0.0000e+00,1.8261e-03,0.0000e+00,0,284.8
6,0.049583,12.4520,0.36558,2.82025,2.82025,0.0000e+00,5.3177e-04,0.0000e+00,0,288.8
7,0.049026,12.3415,0.37261,3.06750,3.06750,0.0000e+00,1.1946e-03,0.0000e+00,0,273.6
8,0.049486,12.3339,0.37083,3.28270,3.28270,0.0000e+00,1.4072e-03,0.0000e+00,0,283.4
9,0.049896,12.3394,0.37375,3.52529,3.52529,0.0000e+00,4.2506e-04,0.0000e+00,0,281.5
10,0.049391,12.3508,0.37322,3.69406,3.69406,0.0000e+00,2.1141e-04,0.0000e+00,0,278.0
11,0.049025,12.5819,0.37153,3.82576,3.82576,0.0000e+00,1.0077e-02,0.0000e+00,0,277.4
12,0.047754,12.4321,0.38116,4.00488,4.00488,0.0000e+00,1.5765e-04,0.0000e+00,0,273.2
13,0.047701,12.4560,0.38222,4.17360,4.17360,0.0000e+00,4.3728e-03,0.0000e+00,0,276.0
14,0.047278,12.4488,0.38313,4.26655,4.26655,0.0000e+00,2.4856e-03,0.0000e+00,0,291.4
15,0.047036,12.6570,0.38054,4.37297,4.37297,0.0000e+00,5.9377e-04,0.0000e+00,0,284.3
16,0.046703,12.5725,0.38599,4.44971,4.44971,0.0000e+00,7.7549e-04,0.0000e+00,0,274.0
17,0.046522,12.5251,0.39219,4.54648,4.54648,0.0000e+00,6.5616e-03,0.0000e+00,0,280.5
18,0.046998,12.5132,0.39164,4.65191,4.65191,0.0000e+00,6.0718e-04,0.0000e+00,0,275.8
19,0.046099,12.4934,0.39744,4.73133,4.73133,0.0000e+00,9.1975e-04,0.0000e+00,0,278.9
20,0.046155,12.6596,0.39620,4.81932,4.81932,0.0000e+00,8.3536e-04,0.0000e+00,0,280.5
21,0.045593,12.6675,0.39969,4.87050,4.87050,0.0000e+00,1.4269e-04,0.0000e+00,0,286.2
22,0.045400,12.6502,0.39932,4.95670,4.95670,0.0000e+00,3.7653e-04,0.0000e+00,0,272.9
23,0.045731,12.6087,0.40047,5.02495,5.02495,0.0000e+00,4.4560e-03,0.0000e+00,0,275.7
24,0.045253,12.6452,0.40744,5.09931,5.09931,0.0000e+00,2.7505e-04,0.0000e+00,0,285.7
25,0.045434,12.6129,0.40625,5.15493,5.15493,0.0000e+00,1.0180e-03,0.0000e+00,0,284.4
26,0.045089,12.6744,0.40723,5.23902,5.23902,0.0000e+00,5.2072e-04,0.0000e+00,0,277.3
27,0.045483,12.7096,0.40759,5.29304,5.29304,0.0000e+00,4.3708e-04,0.0000e+00,0,279.9
28,0.045376,12.6584,0.40976,5.34821,5.34821,0.0000e+00,1.0200e-02,0.0000e+00,0,283.6
29,0.045936,12.7342,0.40565,5.41578,5.41578,0.0000e+00,9.2775e-04,0.0000e+00,0,271.3
30,0.044793,12.6990,0.41225,5.47002,5.47002,0.0000e+00,2.7271e-02,0.0000e+00,0,277.9
