epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.075420,10.8780,0.30167,0.48475,0.48475,0.0000e+00,1.8199e-02,0.0000e+00,0,279.1
2,0.056802,11.9678,0.35422,0.73068,0.73068,0.0000e+00,1.4620e-03,0.0000e+00,0,291.0
3,0.052228,12.0959,0.34172,0.84222,0.84222,0.0000e+00,4.5652e-04,0.0000e+00,0,283.7
4,0.051305,12.2451,0.35454,0.89531,0.89531,0.0000e+00,9.8696e-04,0.0000e+00,0,286.4
5,0.050207,12.4134,0.36036,0.97041,0.97041,0.0000e+00,5.0558e-03,0.0000e+00,0,286.9
6,0.049163,12.4886,0.36167,1.02496,1.02496,0.0000e+00,1.9073e-03,0.0000e+00,0,290.6
7,0.048600,12.3146,0.36650,1.10658,1.10658,0.0000e+00,3.3310e-03,0.0000e+00,0,275.1
8,0.049143,12.3607,0.36617,1.19546,1.19546,0.0000e+00,6.7078e-03,0.0000e+00,0,285.6
9,0.049109,12.5574,0.36931,1.27768,1.27768,0.0000e+00,1.7173e-03,0.0000e+00,0,283.3
10,0.048169,12.5131,0.37062,1.36568,1.36568,0.0000e+00,1.8262e-03,0.0000e+00,0,280.0
11,0.049055,12.6096,0.37119,1.42554,1.42554,0.0000e+00,1.0121e-02,0.0000e+00,0,279.3
12,0.047385,12.5273,0.38022,1.48106,1.48106,0.0000e+00,9.3936e-04,0.0000e+00,0,275.1
13,0.047544,12.5109,0.37827,1.53587,1.53587,0.0000e+00,1.8503e-02,0.0000e+00,0,277.8
14,0.046759,12.5388,0.38337,1.56965,1.56965,0.0000e+00,1.3000e-02,0.0000e+00,0,292.7
15,0.046092,12.6309,0.38280,1.61173,1.61173,0.0000e+00,1.5564e-03,0.0000e+00,0,285.8
16,0.046133,12.6577,0.38452,1.63628,1.63628,0.0000e+00,6.0231e-03,0.0000e+00,0,275.5
17,0.045742,12.6157,0.39181,1.66291,1.66291,0.0000e+00,1.8131e-02,0.0000e+00,0,281.9
18,0.046054,12.7354,0.38965,1.69692,1.69692,0.0000e+00,1.5831e-03,0.0000e+00,0,277.2
19,0.045467,12.6626,0.39422,1.71689,1.71689,0.0000e+00,1.8181e-03,0.0000e+00,0,280.0
20,0.045939,12.6763,0.39193,1.74743,1.74743,0.0000e+00,3.9415e-03,0.0000e+00,0,281.9
21,0.044997,12.6358,0.40257,1.76500,1.76500,0.0000e+00,1.0386e-02,0.0000e+00,0,287.8
22,0.045742,12.7979,0.40146,1.79542,1.79542,0.0000e+00,2.8929e-03,0.0000e+00,0,274.3
23,0.045665,12.7070,0.40365,1.81793,1.81793,0.0000e+00,6.3007e-03,0.0000e+00,0,277.1
24,0.045384,12.6856,0.40862,1.84203,1.84203,0.0000e+00,5.4807e-04,0.0000e+00,0,287.2
25,0.045068,12.5984,0.40886,1.86208,1.86208,0.0000e+00,4.9053e-03,0.0000e+00,0,286.3
26,0.045154,12.6807,0.41045,1.88602,1.88602,0.0000e+00,1.2782e-03,0.0000e+00,0,279.2
27,0.045472,12.6797,0.41126,1.90932,1.90932,0.0000e+00,1.2655e-03,0.0000e+00,0,282.0
28,0.045409,12.6722,0.41239,1.92444,1.92444,0.0000e+00,4.5652e-02,0.0000e+00,0,285.3
29,0.045433,12.7667,0.41009,1.94750,1.94750,0.0000e+00,1.6385e-03,0.0000e+00,0,273.4
30,0.044751,12.7319,0.41248,1.95977,1.95977,0.0000e+00,6.4889e-02,0.0000e+00,0,280.0
