mesh	up	yaw	pitch	exposed	verts	tris
beetle	+Y	250	30	0.4465	4063	7558
guitar	+Y	200	5	0.43	4036	8068
pegaso	+Y	10	5	0.3651	15319	30658
giraffe	+Y	290	5	0.3635	9239	18474
gargoyle	-Z	230	30	0.3609	3613	7222
goat	+Y	160	5	0.3545	10436	20868
shark	+Y	180	20	0.3497	10054	20104
duck	+Y	50	30	0.3488	7457	14910
blub	+Y	80	20	0.3477	7106	14208
pig	-X	70	30	0.3475	3166	6328
kitten	+Y	350	20	0.3447	3178	6356
bob	+Y	160	30	0.3325	5344	10688
cello	+Y	210	5	0.3324	9113	18147
dog	+Z	90	30	0.3305	3084	6164
dino1	+Y	160	20	0.3209	9058	18112
teddy	+Y	0	10	0.3176	2892	5760
elephant	+Z	230	30	0.3121	11848	23704
car	-Z	70	30	0.3109	15738	31812
moai	+Y	315	10	0.3042	10002	20000
aircraft	+Y	290	30	0.3038	12521	24920
robot	+Y	320	10	0.2911	3136	6132
ivysaur	+Y	280	30	0.2855	11300	22496
